Retrieving speedtest.net configuration...
 7123) PLDT (Pasig City, Philippines) [2225.65 km]
11801) Converge ICT Solutions Inc. (Pasig City, Philippines) [2225.65 km]
16210) Radius Telecoms Inc (Pasig City, Philippines) [2225.65 km]
18198) Infinivan (Pasig City, PH) [2225.65 km]
12793) Royal Cable (Santa Rosa, Philippines) [2227.19 km]
 5596) Skybroadband (Santa Rosa, Philippines) [2227.19 km]
10907) Rapid Networks (Huzurnagar, India) [2234.60 km]
17467) World Vision Networks Private Limited (Varanasi, IN) [2237.17 km]
11984) IKON BROADBAND PVT LTD (Varanasi, India) [2237.17 km]
 3948) Globe Telecom (Antipolo, Philippines) [2237.40 km]
18440) Global Media Broadband (Vinukonda, India) [2239.97 km]
12487) Cherrinet - K Net Solutions Pvt Ltd (Puducherry, India) [2246.29 km]
 8653) Niss Broadband (Pondicherry, India) [2249.21 km]
16809) Fiber 4G Broadband (Suryapet, India) [2263.05 km]
17290) Dialog Axiata PLC (Veravil, Sri Lanka) [2271.31 km]
10983) HIREACH BROADBAND PVT LTD (warangal, India) [2281.90 km]
 5753) Balaji Online (Warangal, India) [2281.90 km]
12821) OneBroadband (Warangal, India) [2281.90 km]
10493) PLDT (Lucena, Philippines) [2284.20 km]
 9952) MyCATV Broadband (Lucena, Philippines) [2284.20 km]
15057) Bhomika Network Private Limited (Gorakhpur, India) [2293.65 km]
15048) WebGatter Technologies Private Limited (Gorakhpur, India) [2293.65 km]
10528) GNET BROADBAND (Gorakhpur, India) [2297.02 km]
16399) CHINATelecom.JX (Nanchang, China) [2303.79 km]
13297) Alacriy Net System Service Pvt.Ltd. (Vellore, India) [2308.32 km]
12601) Kbro (Kaohsiung, Taiwan) [2312.87 km]
11713) Taiwan Mobile (Kaohsiung, Taiwan) [2312.87 km]
 3842) Taiwan Fixed Network (Kaohsiung, Taiwan) [2312.87 km]
 8627) SEEDNET (Kaohsiung, Taiwan) [2312.87 km]
